review_id,Asin,Brand,Nation,Rating,Content
53,B001ANVDMA,posca,US,5,I’ve always preferred not to use paint markers until I discovered these. They’re wonderful. I love them!
54,B001ANVDMA,posca,US,5,The colors covered well
56,B001ANVDMA,posca,US,4,These are my favorite markers and tend to purchase more....thAnk you
57,B001ANVDMA,posca,US,5,They are great
59,B001ANVDMA,posca,US,5,Happy with my purchase
61,B001ANVDMA,posca,US,5,Rien à redire<br>Excellents feutres
62,B001ANVDMA,posca,US,5,"Adoro estos rotuladores, pintan sobre casi cualquier superficie y no huelen nada, ya que son de base acuosa. Es muy bueno que puedas pintar sobre negro con colores claros y se ven perfectamente.,"
64,B001ANVDMA,posca,US,4,My daughter loved the colors they produced.
66,B001ANVDMA,posca,US,5,Good
67,B001ANVDMA,posca,US,5,"Llegaron entiempo y forma, sin danarse"
69,B001ANVDMA,posca,US,5,great quality.Paint goes on smooth
70,B001ANVDMA,posca,US,5,My youngest son loves them - these wonderful marker pens enable creativity to flow…
71,B001ANVDMA,posca,US,5,"Very nice quality. Struggled a bit at first to get used to the product and have the paint consistently flow. Once i got the hang of it, they became my staple!"
72,B001ANVDMA,posca,US,5,These worked great for painting my goalie helmet.
73,B001ANVDMA,posca,US,1,夏休みにフランスから来た孫娘が使おうとしたら　全く色が出なくてびっくりです。　返品しようと思いましたが　返品期間7月6日を一日過ぎて<br>いたので　ペンを上下に大きく何度も振り回し　やっと色が出てきたペン先の上下を入れ替えてどうにか使えるようになりました。<br>フランスから「ポスカ」と指名されて6月5日に注文した商品ですので　こんな状態に納得できませんが　すぐに必要なために使っています。<br>原因を知りたいです。
74,B001ANVDMA,posca,US,5,I bought these markers to add to my watercolor supplies.  They work great.  Don't waste your time on the cheaper ones there is no comparison.  They work great for adding finishing touches to my watercolors.
76,B001ANVDMA,posca,US,5,"This came so fast!!! They are great markers and I love the variety, excited to use them!!!"
77,B001ANVDMA,posca,US,5,"Excellent color mix, great quality"
78,B001ANVDMA,posca,US,5,"I wasn't sure what to get as I haven't really used paint pens before, and I'm glad I chose posca pens! So far, so good anyway."
79,B001ANVDMA,posca,US,5,"I've colored in some sketches in my sketchbook with these, and they're so cool! The color comes out even and very saturated, which is wonderful! They also don't bleed through the pages at all, they just sit on the page, fantastic!The only thing, is I'd say be careful to not go over the same part too many times because it does mess up the page (which will obviously happen, you're basically rubbing paint on thin paper)"
81,B001ANVDMA,posca,US,5,"Son muy padres los plumones, pero definitivamente la espera del envio es una pesadilla, pero es porque vienen desde Japon. Aunque considera la espera de mes y medio."
82,B001ANVDMA,posca,US,5,Pens work great.
83,B001ANVDMA,posca,US,5,"Ces POSCA sont conformes à mes attentes. Je les recommande.<br>Donne envie d'en commander d'autres encore, avec des couleurs irisées…"
84,B001ANVDMA,posca,US,5,とりあえず、喜んでくれたのでよかったです。色が多いので好きな色が入っていたとのことです。
85,B001ANVDMA,posca,US,3,"I've bought each of the sizes, and this one is the worse. These pens will leak a huge blob on my paint surface. I take that blob and do something with it, however it was not my original intention. I will use them, but I'm knowing that they are very unpredictable. Proceed with caution when using these pens."
86,B001ANVDMA,posca,US,5,Excellent product
88,B001ANVDMA,posca,US,4,They don’t work as well as I thought but it’s okay I guess overall it’s a pretty good brand recommend buying
90,B001ANVDMA,posca,US,5,Super
91,B001ANVDMA,posca,US,3,"Bought for grandchild, pricey for quality and quantity of markers that do not indicate any great advantages from other inexpensive markers."
92,B001ANVDMA,posca,US,4,Very good paint markers
93,B001ANVDMA,posca,US,1,"I was super excited to try these pens out after hearing wonderful reviews but sadly upon opening and following the directions on how to get the paint flowing, more than half of them barely work and only leave behind streaky lines no matter how many times I attempt to get the paint flowing. Super bummed because I was under the impression posca was a reputable brand."
94,B001ANVDMA,posca,US,5,"Le contraste et le rendu des couleurs sont exceptionnels et les supports possibles sont variés, le top ! Je n'ai pas trouvé mieux !"
95,B001ANVDMA,posca,US,1,Fake posca pens. Don't buy!! Splatters and nib Is already splitting. Only first use
96,B001ANVDMA,posca,US,5,Must have for every artist or someone who would like to give them a go! Absolutely amazing product! I’ve wanted this for a year now and am so excited to finally have it! None of the tips came out in shipping so pretty durable! Their is a variety of pretty colors and it make neat streaks! If using on paper make sure you have something under and I would recommend thick paper!
97,B001ANVDMA,posca,US,5,I love poscas and getting this was awesome! It's the small bullet nibs and they're good for smaller details. It takes a bit to ship but its worth the wait.
