review_id,sentence_id,sentence_index,bundle_category,bundle_sub_item,matched_keywords,Asin,Brand,Rating,Sentence,Content
3,3_1,1,纸质媒介 (Paper & Pads),黑卡纸/本,black paper,B001ANVDMA,posca,5,"These markers are great, I swatched them on white and black paper?","These markers are great, I swatched them on white and black paper? There's a good variety of colours and they're opaque and bright. Very smooth flow. I plan to use on a variety of surfaces."
14,14_1,1,辅助与创意 (Tools & Accessories),便携笔袋/盒,holder,B001ANVDMA,posca,5,"I used Posca markers to paint on wooden pen holder, These are the best paint markers I've ever tried!","I used Posca markers to paint on wooden pen holder, These are the best paint markers I've ever tried! The tips of the markers are durable and doesn't break easily like other markers I tried. Also the paint won't fade or change color by time. I recommend that you use a piece of plastic film to blend the colors on it and use it as a palette before you apply it on your project."
23,23_1,1,纸质媒介 (Paper & Pads),绘本/写生本,art journal,B001ANVDMA,posca,5,I art journal and use them for that purpose.,"I art journal and use them for that purpose. I love them!!!!! The right colors are in this box, they work easily and enhance your work fantastically! A must have to art journal."
23,23_4,4,纸质媒介 (Paper & Pads),绘本/写生本,art journal,B001ANVDMA,posca,5,A must have to art journal.,"I art journal and use them for that purpose. I love them!!!!! The right colors are in this box, they work easily and enhance your work fantastically! A must have to art journal."
29,29_3,3,纸质媒介 (Paper & Pads),水彩纸/多媒体纸,watercolor paper,B001ANVDMA,posca,5,I enjoy using them on watercolor paper but they are versatile and don't bleed.,These paints work really well and they are thick. Limited palette means I'll have to rethink future illustrations but that's apart of the challenge. I enjoy using them on watercolor paper but they are versatile and don't bleed.
58,58_1,1,纸质媒介 (Paper & Pads),绘本/写生本,art journal,B001ANVDMA,posca,5,I use these for art journaling and other art activities.,"I use these for art journaling and other art activities.  They are easy to use, move smoothly across the page, and don't smear once they are dry. Very pleased!"
79,79_1,1,纸质媒介 (Paper & Pads),绘本/写生本,sketchbook,B001ANVDMA,posca,5,"I've colored in some sketches in my sketchbook with these, and they're so cool!","I've colored in some sketches in my sketchbook with these, and they're so cool! The color comes out even and very saturated, which is wonderful! They also don't bleed through the pages at all, they just sit on the page, fantastic!The only thing, is I'd say be careful to not go over the same part too many times because it does mess up the page (which will obviously happen, you're basically rubbing paint on thin paper)"
96,96_6,6,纸质媒介 (Paper & Pads),重磅马克笔纸,thick paper,B001ANVDMA,posca,5,If using on paper make sure you have something under and I would recommend thick paper!,Must have for every artist or someone who would like to give them a go! Absolutely amazing product! I’ve wanted this for a year now and am so excited to finally have it! None of the tips came out in shipping so pretty durable! Their is a variety of pretty colors and it make neat streaks! If using on paper make sure you have something under and I would recommend thick paper!
144,144_4,4,纸质媒介 (Paper & Pads),绘本/写生本,art journal,B001ANVDMA,posca,5,Great for lettering on Art Journals!,The very Best Markers - Especially for Mixed Media.  They seem to write on all Mediums!  The ink comes out even - never leaves a puddle.  Great for lettering on Art Journals!  Love this product - I will buy these again
211,211_2,2,表面保护 (Finishing & Protection),亮油/保护喷雾,fixative,B001ANVDMA,posca,5,"Permanence: Know that, however, you must seal them with a suitable fixative if you use them on a primed canvas before you add any additional polymer medium.","These paint pens handle beautifully and cover well. Permanence: Know that, however, you must seal them with a suitable fixative if you use them on a primed canvas before you add any additional polymer medium. This may be true even if you paint over any Posca paint pen underpainting/drawing. Evidently, they are permanent on porous surfaces or if you heat your art work in a home oven. Modern gesso is more plasticy than absorbent. They talk about permanence on their Posca website."
291,291_21,21,表面保护 (Finishing & Protection),亮油/保护喷雾,clear coat,B001ANVDMA,posca,5,I put a clear coat over it and then it had a gloss finish.,"I love anything to do with color. Recently I started buying things to do finger nail art.  I am a water paint artist and glass artist. I was looking for something that I could use that would give me better outlines when painting in miniature.  I saw these pens and decided to give them a try.  The price was reasonable. I did read the mixed reviews. Yes, the instructions are in Japanese and I can't read them, but how many American products are translated into Japanese.I decided to try all of them to make sure they worked. I found that if you don't want them to gush out some ink or whatever it is when you try to get the color flowing, you should first take all of them out of the box. Shake one back and forth a few times and then put it back in the box with point end standing up. Then after you have repeated this with all the pens, take the 1st one you shook turn it over and very lightly and I mean lightly, press it down on a paper just about 1 or 2mm, no more, Do it once and then a second time, then wait. The ink will slowly start to flow onto the point of the pen. It starts out as white and then slowly the color changes.  You can now test it with a lite touch.  If you press hard the ink will gush out. It will also do that if you shake it and immediately use it as you should allow the ink to settle and not all be in the tip. I know from experience. Put the cover on well and it shouldn't dry out. The tip is not felt but a material that if firm and won't absorb the ink, just enough .The ink is a nice consistency.It appears to be ink. It dries very fast and on paper it is a matt finish as well as on nails. I put a clear coat over it and then it had a gloss finish. It does cover well as it is opaque. I bought another set that has the extra fine tip and am looking forward to getting it."
299,299_5,5,表面保护 (Finishing & Protection),密封胶,mod podge,B001ANVDMA,posca,4,"After I let my designs dry over night and I went to seal the rocks with Mod Podge, the design was ruined.","I paint rocks for the community Rock group.  I have used other acrylic paint pens in the past and thought I would try this brand.  I found the paint pens to be easy to work with and the tips don't dry up a quickly as other brands.  BUT.. After I let my designs dry over night and I went to seal the rocks with Mod Podge, the design was ruined.  The Mod Podge did something to the paint and smeared all over.  Ruined my painting.I have always sealed my rock paintings with Mod Podge and then Krylon spray.  I think it is safe just to use the Krylon spray over the Posca paint designs."
